AssetID;Action_Actual;Action_From;Action_To;Trigger_Date;Trigger_MSGNo;Trigger_Text;Trigger_Count;AWS;BWS;AVSS;CalcDate
65316;34;12.03.2015 02:35;12.03.2015 02:36;12.03.2015 02:35;1019;Jacket water pressure low;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 02:36;12.03.2015 02:36;12.03.2015 02:35;1019;Jacket water pressure low;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 02:36;12.03.2015 02:36;12.03.2015 02:36;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 02:36;12.03.2015 02:36;12.03.2015 02:36;1019;Jacket water pressure low;1;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:36;12.03.2015 02:36;12.03.2015 02:36;1019;Jacket water pressure low;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:36;12.03.2015 02:37;12.03.2015 02:36;1019;Jacket water pressure low;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 02:37;12.03.2015 02:37;12.03.2015 02:36;1019;Jacket water pressure low;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 02:37;12.03.2015 02:43;12.03.2015 02:36;1019;Jacket water pressure low;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 02:43;12.03.2015 02:49;12.03.2015 02:36;1019;Jacket water pressure low;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 02:49;12.03.2015 03:01;12.03.2015 02:49;0;NULL;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 03:01;12.03.2015 03:01;12.03.2015 02:49;0;NULL;0;0;2;0;29.10.2018 12:25
65316;26;12.03.2015 03:01;12.03.2015 03:01;12.03.2015 03:01;0;NULL;0;0;2;0;29.10.2018 12:25
65316;26;12.03.2015 03:01;12.03.2015 03:14;12.03.2015 03:01;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 03:14;12.03.2015 03:18;2015-03-12 03:14:13.010;1254;Cold start CPU;1;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 03:18;12.03.2015 03:18;2015-03-12 03:14:13.010;1254;Cold start CPU;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 03:18;2015-03-12 03:18:31.030;2015-03-12 03:14:13.010;1254;Cold start CPU;0;0;2;0;29.10.2018 12:25
65316;34;2015-03-12 03:18:31.030;12.03.2015 03:22;2015-03-12 03:14:13.010;1254;Cold start CPU;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 03:22;12.03.2015 03:27;2015-03-12 03:14:13.010;1254;Cold start CPU;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 03:27;12.03.2015 03:30;2015-03-12 03:14:13.010;1254;Cold start CPU;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 03:30;12.03.2015 03:37;2015-03-12 03:14:13.010;1254;Cold start CPU;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 03:37;2015-03-12 03:37:49.037;2015-03-12 03:14:13.010;1254;Cold start CPU;0;0;4;0;29.10.2018 12:25
65316;34;2015-03-12 03:37:49.037;12.03.2015 03:37;2015-03-12 03:14:13.010;1254;Cold start CPU;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 03:37;12.03.2015 03:38;2015-03-12 03:14:13.010;1254;Cold start CPU;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 03:38;12.03.2015 03:43;12.03.2015 03:38;0;NULL;0;0;4;0;29.10.2018 12:25
65316;6;12.03.2015 03:43;12.03.2015 03:43;12.03.2015 03:43;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 03:43;12.03.2015 03:53;12.03.2015 03:43;3375;Air starter engagement fault;1;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 03:53;12.03.2015 03:53;12.03.2015 03:43;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;34;12.03.2015 03:53;12.03.2015 03:54;12.03.2015 03:43;3375;Air starter engagement fault;0;0;2;0;29.10.2018 12:25
65316;34;12.03.2015 03:54;12.03.2015 03:54;12.03.2015 03:43;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;4;12.03.2015 03:54;12.03.2015 04:00;12.03.2015 03:54;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;12.03.2015 04:00;2015-03-12 04:14:54.063;12.03.2015 04:00;3345;Ignition safety loop ;1;0;4;0;29.10.2018 12:25
65316;34;2015-03-12 04:14:54.063;2015-03-12 04:14:54.063;12.03.2015 04:00;3345;Ignition safety loop ;0;0;4;0;29.10.2018 12:25
65316;34;2015-03-12 04:14:54.063;12.03.2015 04:24;12.03.2015 04:00;3345;Ignition safety loop ;0;0;2;0;29.10.2018 12:25
